ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
11,0.6591071,0.7895982,0.7150579,0.813564,0.710775,0.755973,0.7577044,0.7315515,0.7621695,0.727542,0.7702796,0.731916,0.7527837,0.7511434,0.779301,0.7623518,0.6905453,0.7335563,0.7267219,0.8268683,0.7989841,0.7329184,0.7700063,0.7832194,0.772011,0.8001686,0.7212544,0.7286355,0.7262663,0.7542416,0.7207988
12,0.7103194,0.7835839,0.7969792,0.7411196,0.7513257,0.7197053,0.7700974,0.806274,0.7529659,0.7441268,0.7965236,0.7257195,0.7687305,0.7569754,0.7029383,0.7203432,0.7265397,0.7360166,0.7482274,0.8133818,0.7894159,0.7970704,0.8342494,0.7958858,0.7577955,0.7466783,0.672138,0.7775697,0.7518724,0.7439445,0.7077679
13,0.3147458,0.3046309,0.3063623,0.3037196,0.2971586,0.3021705,0.3344288,0.3088226,0.3179351,0.3044486,0.3139256,0.306909,0.316386,0.3157481,0.3119209,0.2987078,0.3225825,0.2934225,0.320031,0.3435413,0.3394406,0.330237,0.333153,0.3180262,0.3000746,0.3320595,0.2913266,0.3084581,0.3115564,0.2905976,0.352836
14,0.5167699,0.6095352,0.5271581,0.5103911,0.5172255,0.5449275,0.5173166,0.4941709,0.527067,0.5194125,0.5121225,0.4932596,0.532899,0.4755814,0.5382754,0.5020987,0.5076574,0.4576298,0.5492104,0.5692579,0.5382754,0.5080219,0.5063816,0.5023721,0.5046502,0.5060171,0.4714808,0.465102,0.5277049,0.470934,0.5326256
15,3.448079,3.793078,3.673613,3.453,3.520432,3.70086,3.71061,3.743871,3.749885,3.580028,3.507584,3.740955,3.663225,3.63361,3.829164,3.867436,3.667872,3.590963,3.829893,4.056612,3.698946,3.721272,3.629965,3.842103,3.564445,4.01843,3.399601,3.679172,4.196944,3.545765,4.362974
16,2.966939,3.302097,3.026626,3.143084,2.927208,3.201221,3.124768,3.099617,3.150465,3.109732,3.290433,2.996372,3.234938,3.145817,3.158119,3.165045,3.17598,3.05041,3.080207,3.246693,3.412814,3.522437,3.474414,3.337271,3.210881,3.284874,2.987533,3.188282,2.925112,3.242136,3.133698
17,1.515864,1.618836,1.482239,1.555504,1.516776,1.472216,1.548214,1.625579,1.589676,1.517596,1.474676,1.420365,1.531173,1.396217,1.453535,1.529989,1.541379,1.433032,1.57865,1.662576,1.592045,1.600246,1.499189,1.556688,1.484973,1.619656,1.380544,1.507572,1.556506,1.418634,1.639065
18,0.08046338,0.08647763,0.06542775,0.078732,0.08110125,0.09723037,0.080919,0.08265038,0.0710775,0.07754738,0.08766225,0.08155688,0.1017866,0.09021375,0.1006931,0.08155688,0.08474625,0.08574863,0.0834705,0.082377,0.0871155,0.07827638,0.07955213,0.08520187,0.08912025,0.09158063,0.08438175,0.07982551,0.08410838,0.07581601,0.08438175
19,3.899057,4.295177,3.932682,3.973324,4.033102,3.904615,4.084678,4.102994,4.164777,3.848391,3.840463,3.846751,4.046588,3.762916,4.305748,3.809754,3.965031,3.676803,4.02736,4.285336,4.224646,3.989088,4.027452,4.051418,3.90179,4.233212,3.892496,3.893225,4.081306,4.008407,4.081124
20,3.409898,3.62149,3.436688,3.460199,3.351942,3.691018,3.563899,3.595155,3.620396,3.429125,3.371534,3.301823,3.556335,3.298452,3.617572,3.670424,3.506763,3.322964,3.382378,3.818229,3.628506,3.53237,3.491454,3.475143,3.393131,3.675983,3.228741,3.613744,3.709608,3.519703,3.669786
21,0.6088973,0.739206,0.6328632,0.6057079,0.6428869,0.662661,0.6383306,0.6685842,0.7176094,0.6216547,0.6682196,0.6256643,0.7436711,0.6420668,0.6722292,0.6984732,0.6606563,0.6106287,0.657558,0.7298201,0.6766943,0.6889961,0.6362348,0.5950463,0.6703155,0.7587979,0.6185565,0.6326809,0.7251728,0.581013,0.7652678
22,0.1893578,0.228177,0.1656653,0.1907246,0.1766914,0.2017508,0.1790606,0.1840725,0.176418,0.1879909,0.191727,0.1728641,0.2243498,0.1906335,0.2239853,0.1795163,0.1841636,0.1831613,0.190998,0.1977413,0.1943696,0.193185,0.1777849,0.1958276,0.1916359,0.2104988,0.1820678,0.1867151,0.204849,0.1775115,0.1802453
23,0.03408075,0.04237312,0.03617663,0.03854588,0.03335175,0.04064175,0.02934225,0.04173525,0.03763463,0.03526537,0.03599438,0.034992,0.045198,0.04073288,0.04310213,0.04319325,0.034263,0.03708788,0.04109738,0.04146188,0.04219088,0.0353565,0.04310213,0.03654113,0.03809025,0.05130338,0.03362513,0.03417188,0.03845475,0.03435412,0.03954825
24,0.3058155,0.3658669,0.339714,0.4189017,0.3252251,0.3522893,0.3664136,0.3354311,0.3835451,0.3394406,0.3687829,0.398763,0.3831806,0.3649556,0.3996743,0.3768019,0.3291435,0.3744326,0.33534,0.3793534,0.3657758,0.3993098,0.3476419,0.4185371,0.3505579,0.3795356,0.3282323,0.3199399,0.3476419,0.3577568,0.3398051
25,4.546135,5.139541,4.882022,5.308669,5.116395,4.942438,4.820331,4.875643,4.97825,4.74169,4.818417,4.67526,4.682003,5.017343,5.153119,5.010235,5.303293,4.861428,4.62915,5.187838,5.316871,5.253448,5.197041,5.154395,5.030282,4.954375,4.462665,5.031012,4.767022,4.891772,4.687015
26,0.7684572,0.8454578,0.8233144,0.8584887,0.828144,0.8455489,0.8298754,0.8399903,0.8086433,0.7689128,0.8138374,0.7754738,0.8012621,0.8105569,0.8676012,0.8147486,0.8563017,0.8245901,0.7908739,0.8852794,0.8787184,0.8150221,0.819396,0.7942455,0.8447288,0.8393524,0.7453114,0.8347961,0.8564839,0.8275061,0.9165353
27,1.915083,2.102527,2.042931,2.135241,2.002836,2.001014,1.986252,1.978506,1.866969,1.865876,1.9683,1.877084,1.909798,1.935495,2.02334,1.93914,2.085213,1.937773,1.885467,2.103074,2.106354,2.023704,2.125946,2.052955,1.991172,2.104076,1.824778,2.025435,1.961739,2.063526,1.978415
28,1.689275,1.721807,1.694834,1.885832,1.724176,1.853391,1.714608,1.660935,1.745682,1.577647,1.605349,1.656288,1.676062,1.684172,1.827968,1.654648,1.820404,1.742675,1.685175,1.844917,1.826418,1.750238,1.819311,1.882278,1.774659,1.949073,1.639886,1.765091,1.688455,1.808011,1.691189
29,1.665218,1.845099,1.770468,1.814754,1.622116,1.707865,1.731831,1.705131,1.743404,1.617651,1.715884,1.625761,1.75607,1.636058,1.707682,1.657655,1.692191,1.555868,1.690369,1.783499,1.748689,1.697659,1.828059,1.729006,1.565892,1.643622,1.553408,1.595143,1.606716,1.637516,1.686997
30,0.07900538,0.08265038,0.06561,0.07408462,0.06779701,0.07171538,0.0729,0.0659745,0.0812835,0.07016625,0.07718287,0.05895788,0.0732645,0.07973438,0.08028113,0.06214725,0.06460763,0.07627163,0.0725355,0.08583976,0.063423,0.074358,0.07964325,0.09358538,0.07162425,0.07681838,0.07280888,0.07490475,0.062694,0.07955213,0.073629
31,0.2337356,0.278478,0.2160574,0.2460375,0.24057,0.2904154,0.228906,0.2518695,0.2306374,0.2523251,0.2512316,0.234009,0.3075469,0.2606175,0.3103718,0.2417546,0.2556967,0.2483156,0.2674519,0.2557879,0.2736484,0.2403878,0.2474044,0.2536009,0.2464931,0.2796626,0.255879,0.2518695,0.2494091,0.2348291,0.2462198
32,2.366334,2.597974,2.533275,2.519424,2.417182,2.443608,2.482336,2.456183,2.662217,2.388842,2.466572,2.369068,2.441512,2.480969,2.505847,2.557514,2.464476,2.366972,2.473224,2.585307,2.603441,2.517966,2.58467,2.47532,2.358315,2.612918,2.258351,2.512681,2.355581,2.484979,2.522158
33,2.516052,3.022252,2.699852,2.920283,2.646452,2.891214,2.786238,2.486346,2.711789,2.744412,2.865061,2.548311,2.788243,2.747145,2.672423,2.837359,2.726369,2.748057,2.656932,2.930853,2.965025,2.893857,3.147275,3.150738,2.694293,2.980608,2.457003,3.060433,2.642534,2.836539,2.644265
34,1.11373,1.401138,1.143072,1.225996,1.187906,1.161024,1.210322,1.172779,1.273107,1.140065,1.282584,1.11938,1.145441,1.274383,1.193829,1.126305,1.048393,1.085572,1.105073,1.245405,1.177244,1.395762,1.266,1.286412,1.150818,1.214696,1.020691,1.171503,1.092771,1.192188,1.053861
35,0.2414813,0.2612554,0.2349203,0.2464931,0.2388386,0.2494091,0.2505026,0.2796626,0.2775668,0.238383,0.2504115,0.2389298,0.2614376,0.26244,0.2655382,0.2721904,0.2781135,0.2396588,0.2556967,0.2798449,0.2761999,0.277749,0.2672696,0.2779313,0.2756531,0.27702,0.2410256,0.2463109,0.2501381,0.2397499,0.2723726
36,0.8282351,0.9198158,0.8881954,0.9639203,0.8765314,0.9301129,0.9174466,0.8618603,0.957177,0.8822723,0.9184489,0.8577597,0.8457311,0.8980369,0.929475,0.9408656,0.9336668,0.9241898,0.885735,0.9719393,0.9260123,0.9918957,0.9798672,1.027708,0.9648315,0.9581794,0.83835,0.9048713,0.8768048,0.9273791,0.850743
37,1.859952,1.997825,1.841454,2.191556,1.880547,2.015321,1.900685,1.843277,1.97395,1.874532,1.947159,1.771197,1.889841,1.930939,2.109453,1.946157,1.963288,1.871616,1.846557,2.084576,1.820586,1.978233,2.054504,2.055324,1.967207,1.940689,1.700393,1.871616,1.898589,2.066897,1.749236
38,1.04411,1.107989,1.093682,1.154189,1.037185,1.111452,1.162117,1.056321,1.189455,1.103433,1.177791,1.070719,1.076095,1.123389,1.151273,1.108809,1.082656,1.076551,1.054316,1.170501,1.100334,1.11537,1.15747,1.216154,1.148175,1.17369,1.01814,1.037367,1.103797,1.106895,1.03919
39,0.4667423,0.5048325,0.4200863,0.524151,0.4633707,0.5748165,0.4488818,0.5276138,0.486243,0.4740323,0.4852406,0.451251,0.5733585,0.5134894,0.5698047,0.5006407,0.4926217,0.4977248,0.4799554,0.521235,0.5138539,0.4994561,0.4886123,0.4969958,0.5149474,0.5399156,0.4568096,0.5031922,0.5049236,0.4815956,0.4990005
40,0.8914759,0.8829101,0.8273239,1.050398,0.882819,1.013128,0.8384411,0.9204537,0.8666899,0.8845504,0.9639203,0.8308778,0.9705724,0.9269235,1.043199,0.9167175,0.902502,0.8887421,0.9220028,0.9853346,0.8819078,0.9636469,0.9635558,0.9496136,0.9443284,0.9261945,0.8165712,0.9126169,0.8991304,0.9669274,0.8512897
41,0.753786,0.8041781,0.7959769,0.7397528,0.8073675,0.8264127,0.7385681,0.8080965,0.7606204,0.788049,0.7385681,0.7315515,0.8413572,0.7970704,0.804816,0.8316067,0.7973438,0.7452202,0.7987106,0.8722485,0.8226765,0.7912384,0.7197053,0.723168,0.7678193,0.9386787,0.7474073,0.739935,0.8445465,0.7783898,0.8615869
42,2.247598,2.232654,2.254159,2.288696,2.244044,2.404516,2.468759,2.321592,2.468121,2.276394,2.27284,2.305827,2.278581,2.200031,2.35549,2.354123,2.386473,2.264092,2.269559,2.435133,2.387566,2.304278,2.490173,2.468121,2.274662,2.310292,2.219258,2.296077,2.245411,2.262725,2.294801
43,0.6819795,0.734103,0.643707,0.6733226,0.7102283,0.6891784,0.7125975,0.6948282,0.7373835,0.6754185,0.7032117,0.665577,0.7017536,0.6427047,0.7331007,0.6561,0.6554621,0.6211991,0.6387863,0.7366545,0.7178828,0.7337385,0.7351965,0.6748717,0.6487189,0.6375105,0.6614764,0.6354147,0.6333188,0.6360525,0.6988376
44,1.313202,1.527437,1.398769,1.320948,1.405512,1.261535,1.403507,1.443511,1.492081,1.209138,1.291697,1.351202,1.318032,1.270738,1.45964,1.408246,1.359767,1.190457,1.395397,1.481419,1.358856,1.645444,1.295433,1.375805,1.274657,1.512857,1.296162,1.222169,1.331883,1.274383,1.393392
45,0.322218,0.3447259,0.328779,0.3432679,0.3325151,0.3378004,0.3634065,0.3211245,0.3347933,0.3277766,0.341172,0.3301459,0.3314216,0.3162949,0.355023,0.317115,0.3286879,0.32076,0.322218,0.3345199,0.3412631,0.3385294,0.3634065,0.354294,0.3168416,0.3351578,0.3224003,0.3172973,0.2621666,0.324405,0.3012592
46,0.4805021,0.5325345,0.484785,0.4988183,0.5069284,0.5268848,0.5323523,0.4848761,0.5381843,0.5100266,0.5078396,0.4857874,0.5119402,0.4727565,0.5318967,0.4844205,0.4874277,0.4730299,0.4642819,0.5007319,0.5331724,0.5144007,0.5429228,0.5142184,0.4948999,0.480411,0.4992739,0.4651932,0.429381,0.4775862,0.4972692
47,0.1468935,0.1703126,0.1425195,0.1570084,0.1344094,0.1404236,0.1486249,0.143613,0.1398769,0.129033,0.136323,0.1496273,0.1345916,0.1349561,0.1402414,0.1283951,0.1434308,0.1264815,0.1484426,0.137052,0.1466201,0.1508119,0.1524521,0.1453444,0.1325869,0.1350473,0.1223809,0.1215608,0.1432485,0.1214696,0.1422461
48,0.03672338,0.04902525,0.0368145,0.04938975,0.03398963,0.04209975,0.03799913,0.037908,0.04674713,0.04310213,0.0404595,0.04501575,0.04036837,0.03763463,0.04692938,0.04692938,0.04255538,0.0484785,0.03617663,0.03945713,0.04820513,0.04802288,0.04656488,0.0506655,0.0426465,0.04392225,0.03845475,0.04137075,0.04246425,0.03963938,0.04109738
49,0.9226407,0.9635558,0.9540788,0.916353,0.9590907,0.893025,0.9332111,0.9502515,0.9329378,0.9346691,0.9584528,0.9399544,0.8691503,0.9135281,0.8919315,0.8917493,0.9662895,0.8778071,0.9342135,0.9062381,0.9460598,1.011761,0.8987659,0.9094275,0.9299306,0.9109766,0.9222761,0.8646852,0.9189045,0.9066027,0.8446376
50,0.0907605,0.1269371,0.1006931,0.1251146,0.0914895,0.110079,0.1147264,0.1085299,0.10935,0.1165489,0.1219253,0.1001464,0.1041559,0.112995,0.1021511,0.1128128,0.1044293,0.1177335,0.1031535,0.1063429,0.129762,0.1365053,0.1221075,0.1112636,0.1098056,0.1281217,0.1099879,0.1328603,0.1113548,0.1141796,0.1139974
51,16.41116,15.95489,16.48424,16.47258,16.11701,16.41945,15.91972,16.39576,15.92911,16.04538,16.34145,16.14972,16.2855,16.00456,16.30363,16.95745,17.12029,15.77893,16.30646,16.81174,17.58949,17.50438,16.11464,16.27019,16.81958,16.93221,15.61126,15.84226,16.57163,15.93986,16.03764
52,0.2547855,0.2575192,0.2610731,0.2671785,0.2545121,0.2564258,0.2258989,0.2415724,0.2561524,0.2519606,0.2463109,0.2707324,0.2645359,0.2620755,0.250776,0.2484068,0.2518695,0.2426659,0.2266279,0.2790247,0.2536009,0.236925,0.2562435,0.2436683,0.2503204,0.2562435,0.2321865,0.236196,0.2553323,0.2414813,0.2407522
53,0.992169,1.282584,0.9487024,1.001281,1.017866,1.076824,1.098785,0.8666899,1.030168,0.9434171,1.100425,0.9548989,1.024974,1.033995,0.9942649,0.9600019,0.9087896,0.9387698,0.9334846,0.9716659,0.967383,1.237751,1.05705,1.012763,0.9567214,1.03354,0.8936629,1.017228,0.9300218,0.9774979,0.9458776
54,0.5106645,0.504468,0.4951733,0.5103,0.4858785,0.543834,0.5257913,0.4777684,0.534357,0.4948999,0.5053793,0.4889768,0.5242422,0.5415559,0.5158587,0.5185013,0.5278872,0.5113024,0.486243,0.5644283,0.5171344,0.519777,0.5508506,0.5494838,0.5279782,0.5359061,0.4481528,0.5269759,0.4817779,0.5187746,0.513216
55,0.9206359,1.184352,0.9633735,0.901044,0.965925,0.9454219,0.9809607,0.9668363,1.018686,0.8848238,0.9794115,0.9102476,0.9672008,0.9164441,0.9664718,0.9713925,0.9426882,0.873342,0.9472444,1.032902,0.9969987,1.141887,0.963738,1.01003,0.9420503,1.075639,0.8801764,0.9504338,0.9799583,0.9133459,0.9939004
56,0.0769095,0.09586351,0.07991663,0.08693326,0.08410838,0.08912025,0.08811788,0.08328825,0.08948475,0.08975813,0.09294751,0.07572488,0.08921137,0.08593088,0.09413213,0.09786826,0.08583976,0.08538413,0.08574863,0.08802675,0.09759488,0.094041,0.084564,0.08948475,0.09641025,0.081648,0.0769095,0.07900538,0.07918762,0.082377,0.07590713
57,27.38643,28.78794,28.99752,26.69398,28.90913,27.57069,27.45296,28.66364,27.6794,27.9115,27.97811,27.35636,27.45095,27.87131,27.16974,27.94485,28.19462,27.62136,27.68451,28.34862,28.90749,29.37588,28.33833,28.10013,28.89802,27.63193,27.18022,26.83978,26.98421,27.27271,26.81563
58,0.1367786,0.1481692,0.1422461,0.1350473,0.1345005,0.1542746,0.155277,0.1296709,0.1493539,0.13851,0.1418816,0.1287596,0.1426106,0.1270283,0.1391479,0.1380544,0.1322224,0.1330425,0.1383277,0.1398769,0.1416083,0.1515409,0.1594688,0.1445243,0.1302176,0.1283951,0.1381455,0.1300354,0.1152731,0.1418816,0.1378721
59,5.297552,5.460575,5.500396,5.46422,5.413827,5.280056,5.387857,5.52582,5.413645,5.220643,5.28607,5.304113,5.222829,5.389406,5.381205,5.508324,5.523451,5.119767,5.363162,5.552429,5.749897,5.933969,5.295821,5.268665,5.402893,5.736683,5.399521,5.152754,5.503768,5.353412,5.110746
60,2.766737,2.912446,2.824419,2.825422,2.774209,2.669234,2.703405,2.865608,2.700581,2.719626,2.813484,2.696115,2.796717,2.853488,2.716345,2.93541,2.831801,2.725276,2.783778,2.871531,2.967395,3.059795,2.79289,2.745323,2.777855,3.023892,2.699852,2.643992,2.749059,2.692926,2.779677
61,0.258066,0.25515,0.2492269,0.2512316,0.2382919,0.2461286,0.2644448,0.2370161,0.2632601,0.2337356,0.2565169,0.2253521,0.2559701,0.2390209,0.2525074,0.2433038,0.2473133,0.2467665,0.2403878,0.250776,0.2407522,0.2630779,0.2589773,0.2641714,0.2604353,0.2750153,0.2607998,0.235467,0.2359226,0.2460375,0.2312753
62,3.470951,4.010867,3.632972,3.481704,3.68063,3.373539,3.423566,3.55834,3.455916,3.482798,3.53565,3.341007,3.561256,3.581121,3.575927,3.541027,3.59798,3.517881,3.519977,3.63361,3.87099,3.95036,3.433408,3.444434,3.585769,3.99328,3.428487,3.404977,3.776949,3.372992,3.510044
63,1.491899,1.521241,1.52443,1.464105,1.519145,1.506296,1.579014,1.439957,1.564707,1.454355,1.466566,1.390659,1.523701,1.532996,1.560971,1.541106,1.494086,1.572362,1.488527,1.56981,1.536914,1.534089,1.508574,1.489165,1.42638,1.542473,1.466566,1.49773,1.54794,1.528804,1.507025
64,12.5049,13.79232,13.14041,12.97738,12.79422,12.9885,12.2154,12.23617,12.38544,12.31199,12.32092,11.91623,12.93683,12.45834,13.15872,12.3848,12.41132,12.1281,12.19927,12.84234,13.33223,13.41816,12.44148,12.21148,12.27226,12.9454,12.12136,12.38535,13.19062,12.54655,12.89355
65,5.35815,5.677452,5.490919,5.227203,5.453467,5.198043,5.407267,5.43506,5.345302,5.420206,5.392413,5.300104,5.266661,5.34275,5.322247,5.471418,5.493562,5.184648,5.398519,5.39296,5.886949,6.108747,5.328444,5.17836,5.466407,5.74534,5.304295,5.112113,5.50559,5.182461,5.344026
66,2.044298,2.487166,2.238668,2.132234,2.198026,2.063708,2.165312,2.225819,2.207594,2.104076,2.151006,2.188276,2.187456,2.138795,2.293161,2.080748,2.15702,2.20969,2.054778,2.243771,2.312752,2.29881,2.082297,2.106628,2.207685,2.514868,2.151461,2.044936,2.260265,2.052044,2.251972
67,0.2832165,0.3034463,0.3020794,0.266814,0.3053599,0.2630779,0.2504115,0.287226,0.2669051,0.2720081,0.286497,0.2917823,0.2920556,0.2950628,0.2723726,0.2972498,0.2968853,0.2895041,0.2754709,0.2804828,0.3131055,0.3232204,0.2505026,0.2592506,0.2990723,0.290142,0.2752886,0.2606175,0.3044486,0.2541476,0.2649915
68,0.8468246,0.762534,0.817938,0.8605845,0.8190315,0.8605845,0.8368009,0.8229499,0.8212186,0.8338849,0.834705,0.8337938,0.8326092,0.8261393,0.8244079,0.8921138,0.8283263,0.8867374,0.8111948,0.8765314,0.8154777,0.8589443,0.850014,0.8648674,0.7820348,0.8209451,0.7861354,0.8329737,0.7686394,0.8364364,0.773469
69,2.374171,2.493727,2.38055,2.380458,2.320863,2.361687,2.476231,2.467574,2.368339,2.333802,2.387293,2.333438,2.336263,2.43158,2.422285,2.479056,2.384012,2.36761,2.373806,2.542387,2.686547,2.62604,2.423925,2.417729,2.393763,2.600161,2.45755,2.350023,2.383739,2.342642,2.415633
70,0.4595434,0.48114,0.4495196,0.4554428,0.4495196,0.4355775,0.4511599,0.4661044,0.448335,0.4528001,0.4669245,0.4248248,0.4415918,0.4479705,0.4596345,0.4927129,0.468747,0.4460569,0.4679269,0.478224,0.505197,0.509571,0.4487906,0.4459658,0.4735766,0.5031011,0.4365799,0.4289254,0.4484261,0.4500664,0.4425941
71,0.223074,0.2359226,0.2302729,0.2344646,0.2248054,0.2239853,0.2425748,0.2316398,0.2454908,0.2152373,0.2338268,0.2133236,0.2289971,0.2334623,0.2275391,0.2272658,0.2382008,0.2248965,0.2330066,0.2352848,0.2537831,0.2414813,0.2214338,0.2277214,0.2279948,0.288684,0.2110455,0.2362871,0.2228006,0.2433038,0.2299084
72,5.1492,5.589426,5.317782,5.465769,5.222192,5.346486,5.406629,5.295456,5.424125,5.287529,5.346668,5.179728,5.363435,5.208705,5.454834,5.406173,5.364438,5.210983,5.256819,5.655765,5.501854,5.613665,5.351771,5.477889,5.360064,5.937979,5.222647,5.287893,5.311859,5.395694,5.323887
73,1.892302,2.008395,1.946339,2.063799,1.883098,1.990717,1.988256,1.945701,2.067991,1.909251,1.949346,1.858039,2.031085,1.954905,2.08166,2.012496,1.978415,1.847468,1.910527,2.085304,2.095146,2.109635,2.017416,1.860681,2.04366,2.115467,1.836169,1.952627,1.927749,2.019057,2.0145
74,0.2388386,0.2336445,0.2352848,0.239841,0.2324599,0.2203403,0.2236208,0.246402,0.2374718,0.2415724,0.2331889,0.2272658,0.2076739,0.2392943,0.2285415,0.2570636,0.2648093,0.2091319,0.2341001,0.2425748,0.2419369,0.2524163,0.2535098,0.2720081,0.2636246,0.2149639,0.2366516,0.2187911,0.2353759,0.2525074,0.2542388
75,0.3312394,0.3345199,0.3449081,0.344817,0.3525626,0.3082759,0.3187553,0.3555698,0.3248606,0.3253163,0.3378004,0.3357045,0.3352489,0.3228559,0.329508,0.3275944,0.3292346,0.3198487,0.3337909,0.3362513,0.3551141,0.3738859,0.337527,0.321489,0.3394406,0.3271388,0.317844,0.3289613,0.3407164,0.327321,0.341901
76,0.5224196,0.5176811,0.536544,0.5255179,0.5041946,0.5205972,0.5123048,0.5367262,0.5196859,0.5125781,0.5267025,0.5105734,0.5195037,0.5359061,0.53217,0.5369996,0.5464767,0.4893413,0.5322611,0.5359061,0.5323523,0.5327168,0.4960845,0.5156764,0.550395,0.5058349,0.4863341,0.5020077,0.562059,0.490617,0.5289806
77,1.082929,1.141158,1.14207,1.150544,1.115461,1.062882,1.095231,1.088488,1.110085,1.087212,1.079102,1.034724,1.077189,1.078556,1.136967,1.121931,1.128674,1.063793,1.099514,1.131681,1.210049,1.212874,1.11291,1.111543,1.145897,1.179157,1.068532,1.011487,1.079011,1.05705,1.071721
78,1.354482,1.395397,1.401138,1.436403,1.311471,1.399862,1.345825,1.349835,1.371522,1.322497,1.352477,1.285227,1.356942,1.354573,1.427747,1.400318,1.377719,1.244039,1.376079,1.418999,1.391388,1.447247,1.387834,1.405694,1.416447,1.286867,1.296253,1.323044,1.364506,1.284225,1.330698
