ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
10,0.1536578,0.1367058,0.1506495,0.1642617,0.1490771,0.1497202,0.177086,0.1497535,0.1754548,0.1739519,0.1668762,0.1544995,0.152099,0.1621901,0.1529487,0.1557499,0.1406632,0.1427059,0.138008,0.1499851,0.1218891,0.125641,0.1441537,0.1477232,0.1417424,0.1457319,0.1445839,0.1454508,0.13959,0.1655175,0.1473395
11,0.1570077,0.1323746,0.1449938,0.1535449,0.1516049,0.152558,0.1665966,0.1517293,0.1667838,0.1725971,0.1601545,0.163727,0.1510543,0.1589883,0.1547346,0.1666343,0.1436761,0.1416692,0.1420719,0.1574804,0.1390382,0.1338731,0.1476765,0.1366909,0.1461829,0.135684,0.1739686,0.1420287,0.1445258,0.1473953,0.1529167
12,0.1731702,0.1406659,0.1689024,0.1704317,0.16762,0.1781411,0.185409,0.1721807,0.1732159,0.1932476,0.1700042,0.1677383,0.1818628,0.1753801,0.1640324,0.1710008,0.1620262,0.1586819,0.1573886,0.1733813,0.1506715,0.1411395,0.1703715,0.1726422,0.1558556,0.1567247,0.1681977,0.1594031,0.1538578,0.1696542,0.1646214
13,0.1810804,0.1487708,0.1861747,0.1712828,0.1802141,0.1827133,0.1789159,0.1599372,0.177496,0.1864965,0.1949058,0.167055,0.1656842,0.1621384,0.1696764,0.162055,0.1643666,0.1755134,0.1549967,0.1543782,0.1674677,0.1432009,0.1453035,0.1603075,0.1450894,0.1365046,0.1518935,0.1838807,0.1586386,0.1817219,0.1690936
14,0.1449672,0.1359206,0.1457296,0.1534574,0.14909,0.1436849,0.1428579,0.1419348,0.1543635,0.1393562,0.1467036,0.1520116,0.143048,0.1390771,0.1599334,0.1377039,0.1439407,0.1412464,0.1443436,0.1445883,0.1354703,0.1137484,0.1186007,0.1276885,0.1154926,0.1328488,0.1238074,0.1421885,0.1337701,0.1268872,0.1430501
15,0.1655749,0.1483465,0.1671478,0.1701357,0.1695862,0.1673174,0.176286,0.1687046,0.1727281,0.1713303,0.1737304,0.1588421,0.1527545,0.154624,0.1657295,0.1622969,0.1787048,0.1697181,0.1581372,0.1597011,0.168014,0.1448608,0.1552048,0.159931,0.1391981,0.1542194,0.1600216,0.1761291,0.1565106,0.1692012,0.1757306
16,0.2076021,0.1579437,0.2022421,0.2074305,0.2155675,0.2000308,0.2178689,0.1843729,0.2088668,0.2139457,0.2066581,0.2004758,0.1860716,0.1831687,0.207463,0.1803276,0.1961508,0.1963961,0.1925923,0.188241,0.1714683,0.1492343,0.168984,0.1838627,0.1660822,0.1602525,0.1745522,0.1893365,0.1793298,0.1883928,0.1932463
17,0.1849904,0.1636149,0.1895062,0.2038617,0.1938142,0.1983003,0.2072466,0.1824631,0.1952185,0.1985545,0.2042366,0.1907623,0.1832263,0.1750593,0.1969042,0.1691859,0.1904803,0.1958702,0.1667339,0.1749409,0.1842027,0.1549053,0.170206,0.1802669,0.1551353,0.1672231,0.1604837,0.2127806,0.1854773,0.1939477,0.208452
18,0.101707,0.08581806,0.126385,0.1041012,0.1241359,0.1111561,0.1128584,0.1213224,0.1223424,0.1303626,0.1173218,0.1211045,0.09175365,0.09936803,0.09720471,0.1242487,0.1191899,0.1059451,0.1114667,0.1058548,0.1082821,0.0880476,0.1102595,0.1114054,0.1085992,0.08763868,0.1010993,0.1121819,0.09570245,0.1158794,0.1303503
19,0.1784351,0.1630698,0.1823447,0.176496,0.1804522,0.1694441,0.1925388,0.1833892,0.1849813,0.1807661,0.1812134,0.1769999,0.168261,0.1616563,0.1847087,0.1698048,0.1820898,0.1807036,0.1723865,0.1687316,0.168107,0.1484732,0.1653845,0.1617679,0.1480993,0.171238,0.1631,0.1787238,0.162834,0.1714612,0.1784351
20,0.1964713,0.1776048,0.1916977,0.1959088,0.1919906,0.1933754,0.2025666,0.1874364,0.1994996,0.1990954,0.1937678,0.1770157,0.1862388,0.1790516,0.1958175,0.1892109,0.1998091,0.1888022,0.1839884,0.1826176,0.1867863,0.1647768,0.1798216,0.1800313,0.1689955,0.1884428,0.1803234,0.1998801,0.1792579,0.2008428,0.1902613
21,0.1723337,0.1590477,0.1844544,0.1855453,0.1815082,0.1887186,0.1845013,0.1845263,0.1915047,0.1858015,0.1816675,0.1717349,0.1668459,0.16999,0.1771143,0.1810838,0.1901496,0.1658333,0.1836042,0.1666778,0.1698628,0.1795805,0.1872727,0.1836526,0.159607,0.1689947,0.2059417,0.1879551,0.1704968,0.1906807,0.1833767
22,0.1626426,0.1368859,0.1736633,0.1793291,0.173457,0.1664024,0.1522565,0.1521227,0.1685056,0.1663277,0.1582976,0.1676574,0.1531257,0.1622076,0.1604913,0.1628344,0.1699269,0.1528868,0.1466111,0.1612196,0.1388328,0.1234154,0.1352785,0.1347076,0.1441135,0.1404317,0.1328768,0.1595477,0.1394621,0.165259,0.1862421
23,0.102644,0.08697032,0.121846,0.09805255,0.1156956,0.1043383,0.1046142,0.1059821,0.1135474,0.1254966,0.1114633,0.1107865,0.1101628,0.1166016,0.1059812,0.119442,0.1150306,0.1192246,0.1063823,0.09406622,0.09702003,0.09329224,0.11693,0.1104979,0.1090229,0.08220504,0.09694618,0.09685978,0.1070077,0.1036481,0.1139242
24,0.1444153,0.1333152,0.1523625,0.1506867,0.1422508,0.1601783,0.1772289,0.1485471,0.1749692,0.1693659,0.1725888,0.1787258,0.1666384,0.1554153,0.1448874,0.1715136,0.1409597,0.1395721,0.1491365,0.1651616,0.1397519,0.1590095,0.1607195,0.1647169,0.1413572,0.1313106,0.1616926,0.1394501,0.152717,0.1457347,0.1581428
25,0.1692296,0.1637733,0.1678413,0.1875624,0.1815964,0.192048,0.1892684,0.1798313,0.1911973,0.1847723,0.1840718,0.1798026,0.1833133,0.1793497,0.1814996,0.193598,0.1743024,0.1888818,0.173507,0.1785847,0.1727996,0.1855867,0.188895,0.2027733,0.1830029,0.173844,0.1871498,0.1889854,0.1788141,0.1759838,0.1796644
26,0.170832,0.1653017,0.1795364,0.189019,0.1814947,0.180783,0.1933747,0.1761564,0.1828202,0.1863586,0.1817577,0.1750118,0.1775468,0.1713108,0.1856782,0.1864874,0.1812292,0.1862765,0.1736697,0.1762727,0.1736079,0.172562,0.1819573,0.1831692,0.1821548,0.1688759,0.1886334,0.1922452,0.1743436,0.1797702,0.1690429
27,0.1813766,0.1685718,0.1866475,0.189316,0.1827475,0.1894298,0.1933838,0.187296,0.1953861,0.1901182,0.1849597,0.1798509,0.1851254,0.1786533,0.1898743,0.1871174,0.1848328,0.1869646,0.1813564,0.1771412,0.1729417,0.1768868,0.1818611,0.1937143,0.1804316,0.1728746,0.1857821,0.1924371,0.1727259,0.1850154,0.1811813
28,0.1664368,0.1507807,0.1733558,0.1710409,0.1638146,0.1747456,0.1808421,0.1823614,0.1905995,0.1795356,0.1738294,0.1700649,0.1699207,0.1643021,0.1760482,0.1681263,0.1647074,0.1776316,0.175707,0.1726486,0.1568698,0.1611221,0.1767446,0.1910829,0.1650333,0.167242,0.1893587,0.1749895,0.1642503,0.1769206,0.1732963
29,0.1437286,0.1346447,0.1430083,0.1440454,0.1430428,0.1409439,0.1377986,0.1434547,0.1405044,0.1349838,0.1337866,0.1521119,0.1398505,0.1291037,0.1530148,0.1331044,0.1327346,0.1348181,0.1369805,0.1401829,0.127122,0.1208496,0.1302468,0.1507932,0.1294119,0.122656,0.1412593,0.1386815,0.1298213,0.1266041,0.1347244
30,0.1191739,0.108046,0.122024,0.1264832,0.1192395,0.1223953,0.1256455,0.135327,0.1347533,0.1184134,0.1148966,0.1143016,0.1279723,0.1118719,0.1292973,0.1204486,0.1148013,0.126689,0.1218944,0.1180426,0.1083896,0.1191304,0.1418517,0.1302185,0.1166961,0.1008067,0.1292436,0.1124705,0.114171,0.1111707,0.1134549
31,0.1160109,0.09637066,0.1108367,0.1083789,0.1044275,0.1133834,0.1180164,0.1297878,0.1243773,0.1136736,0.1068085,0.1165761,0.1159817,0.1059677,0.1041667,0.1104182,0.1138719,0.1094785,0.1100016,0.1094797,0.1030774,0.1079862,0.1332626,0.1197794,0.1125134,0.09081445,0.1259604,0.11058,0.1153656,0.1185416,0.1305843
32,0.1503243,0.1364152,0.1512614,0.1457486,0.1455899,0.1445268,0.1592097,0.1491303,0.1564687,0.1479262,0.1433593,0.1535737,0.1484002,0.1426132,0.1490854,0.1444576,0.1390344,0.1419081,0.1525075,0.1443207,0.1400635,0.1336456,0.1418963,0.1532678,0.1404729,0.1494789,0.1524241,0.1412594,0.1370914,0.1376229,0.1445339
33,0.176227,0.1441648,0.170547,0.1636663,0.1742001,0.1623605,0.1801128,0.1513848,0.1760338,0.1756241,0.1687438,0.1665378,0.1593754,0.1561967,0.162851,0.1645299,0.163138,0.1537477,0.1573689,0.155282,0.1387691,0.1395592,0.1479922,0.1546911,0.1504478,0.1440479,0.1486465,0.1506042,0.1324235,0.1546145,0.1466204
34,0.1658614,0.1420288,0.1732245,0.167604,0.1675082,0.1650564,0.1753637,0.1600568,0.1695911,0.1876746,0.1691858,0.1635895,0.1633872,0.1788676,0.153756,0.1648002,0.1648441,0.1549945,0.1489763,0.1473554,0.1486825,0.1339022,0.1458153,0.1392079,0.1409747,0.1564466,0.1436799,0.1606818,0.1421999,0.1560744,0.1499005
35,0.1135409,0.09459673,0.1170915,0.1151128,0.1084286,0.1075988,0.1205478,0.1043524,0.107086,0.1181518,0.1084563,0.1080494,0.111495,0.1166178,0.1094551,0.1112755,0.09686488,0.1033882,0.09768376,0.09377299,0.09207556,0.1016555,0.1142213,0.1006933,0.1150775,0.07910249,0.1023415,0.1059463,0.1019017,0.1170876,0.108154
36,0.1136232,0.1074468,0.1130163,0.1185604,0.1075363,0.1247744,0.1215129,0.1107085,0.1257276,0.1136962,0.1131953,0.1150043,0.1163381,0.121884,0.1139595,0.123831,0.1113694,0.1119798,0.110779,0.1100359,0.1054357,0.1145458,0.1175053,0.1241727,0.1118509,0.09318931,0.1097847,0.1099625,0.1240315,0.124763,0.1135074
37,0.1597546,0.1276391,0.1693173,0.1643181,0.1465691,0.1580787,0.1665124,0.1350834,0.1650538,0.1562388,0.1542428,0.1558451,0.1425037,0.1574105,0.1470625,0.1599909,0.1496381,0.154874,0.1379409,0.1469718,0.1434281,0.1410639,0.1464924,0.1504489,0.1396677,0.1289509,0.1362712,0.1542481,0.1354316,0.1552762,0.1444971
38,0.1298392,0.1071124,0.128217,0.1403145,0.1251963,0.1355112,0.1402524,0.1163113,0.1496116,0.1446493,0.138764,0.1324052,0.1211153,0.1469682,0.1314121,0.1396024,0.1281366,0.1193706,0.113685,0.1237499,0.1175418,0.1052184,0.1167786,0.1102267,0.1119535,0.1199908,0.1104343,0.1187403,0.1171699,0.1207923,0.1229688
39,0.1530135,0.1297885,0.1695198,0.1717666,0.1652496,0.1578999,0.1755086,0.1595266,0.1662923,0.1790566,0.1738016,0.1665802,0.1378351,0.1637025,0.1566011,0.1640646,0.1629164,0.1635993,0.151047,0.1506263,0.1478686,0.1303633,0.148982,0.1466091,0.1446323,0.1500745,0.1272728,0.1691561,0.1277534,0.1550756,0.1545163
40,0.171728,0.1391508,0.1788882,0.1936067,0.1804409,0.1826258,0.1778052,0.1676535,0.1820025,0.1849701,0.188001,0.1764356,0.1700811,0.1662144,0.1674825,0.1943913,0.1841168,0.1654015,0.1571768,0.1690335,0.1545422,0.156092,0.1584415,0.1562901,0.1512322,0.1597882,0.1564402,0.1841523,0.1430204,0.1779126,0.1783771
41,0.2194032,0.1988671,0.2289842,0.2461779,0.2258728,0.2378487,0.2561876,0.2385211,0.2433196,0.2314811,0.2442333,0.2207541,0.2215257,0.2239905,0.2341597,0.221268,0.2387892,0.223092,0.2188695,0.2107101,0.2235198,0.1996517,0.2355434,0.2362734,0.1964518,0.214137,0.2233037,0.2541198,0.2299232,0.2386799,0.2550908
42,0.1757877,0.1747657,0.1907607,0.1966664,0.1926881,0.1867964,0.1951682,0.1912429,0.1958888,0.1905154,0.1929922,0.1762278,0.1786303,0.1751885,0.1812969,0.1891076,0.1937831,0.1751956,0.1732714,0.1717089,0.1816507,0.1847682,0.1750687,0.1759631,0.1735725,0.1747291,0.1821221,0.1896661,0.1793324,0.1800177,0.1840956
43,0.202859,0.1837177,0.1884148,0.2166894,0.2056614,0.1890334,0.2109063,0.1917484,0.2141067,0.2296691,0.1927845,0.1829928,0.1837408,0.2019642,0.1772157,0.1957037,0.2028008,0.2069202,0.2018036,0.1844293,0.1848119,0.1960726,0.173505,0.2024197,0.1792748,0.2027849,0.1897113,0.211967,0.1646209,0.2036295,0.1807493
44,0.2061315,0.2098634,0.2120557,0.2404675,0.2177334,0.2160401,0.2342483,0.2009482,0.2257496,0.2544734,0.2348048,0.1954933,0.1950981,0.2361227,0.1927644,0.2369043,0.2306108,0.2233209,0.2017836,0.1787667,0.2129254,0.2058218,0.1950704,0.2141615,0.1911328,0.2166425,0.1935512,0.2495628,0.1490977,0.2141196,0.1780479
45,0.1531293,0.1351833,0.1519461,0.1626014,0.143943,0.1422161,0.1636261,0.1599134,0.1362743,0.1659333,0.1560673,0.1343712,0.1429519,0.1515851,0.1494396,0.1469451,0.1636703,0.1430065,0.15676,0.1318437,0.1588786,0.1677799,0.1336979,0.1454823,0.1503381,0.1416413,0.1483873,0.171302,0.1598959,0.1484511,0.1259789
46,0.1957697,0.1518718,0.1999334,0.1947581,0.1827324,0.1732323,0.1955414,0.2037627,0.1848049,0.1939598,0.1844005,0.1705239,0.1814644,0.1879417,0.169535,0.1749527,0.1907233,0.1864098,0.1943115,0.1767619,0.193461,0.2046147,0.166817,0.1803977,0.1793334,0.1855212,0.1942513,0.1991175,0.1917923,0.1826902,0.1683791
47,0.3881668,0.2769947,0.3615708,0.3815177,0.3569287,0.4043081,0.3680148,0.3833039,0.3699991,0.3899397,0.3827836,0.3849379,0.3505709,0.3415473,0.3533371,0.3620431,0.3682165,0.4008499,0.3682788,0.3622913,0.3468795,0.3610128,0.3902777,0.4149197,0.3679438,0.2711714,0.3842038,0.408112,0.3619963,0.4025106,0.3571592
48,0.3802418,0.2686043,0.3652235,0.3408942,0.3865221,0.3356094,0.3818261,0.3150229,0.360621,0.3517871,0.3534822,0.3445537,0.3262839,0.3147736,0.3478476,0.3353769,0.3429187,0.307483,0.3242717,0.365513,0.3138333,0.2571211,0.2972195,0.3172382,0.2652809,0.2865512,0.3098137,0.3285444,0.3081604,0.3604069,0.3478653
49,0.2613195,0.2448329,0.269611,0.2730044,0.2586128,0.2412486,0.258677,0.2700464,0.2392697,0.2773861,0.2753502,0.2796479,0.2420391,0.2498255,0.2392638,0.2331551,0.2827292,0.2571244,0.2626342,0.2483494,0.2608161,0.2565789,0.2295,0.2549431,0.2443726,0.2733405,0.2631452,0.2561876,0.2393111,0.2647254,0.2574647
50,0.4275555,0.3167228,0.4228246,0.4048011,0.436591,0.4013661,0.4500006,0.3872311,0.4447342,0.3969739,0.4045278,0.4082928,0.3935634,0.378229,0.41425,0.4093876,0.4065785,0.4009687,0.3902808,0.4043251,0.369882,0.3224732,0.380679,0.3926622,0.3368439,0.3509028,0.383348,0.3943934,0.3892456,0.4188535,0.4110373
51,0.2605596,0.2367928,0.2691043,0.2633862,0.2594255,0.2559629,0.2741771,0.2681386,0.2746482,0.2712537,0.2676651,0.2560062,0.2470339,0.2507043,0.2444477,0.2629533,0.2630527,0.2558546,0.2543696,0.2460873,0.2521068,0.2540615,0.2577701,0.2603103,0.2573394,0.2329209,0.2611801,0.2692661,0.2488836,0.2661544,0.2542087
52,0.1578792,0.1262185,0.1441671,0.1466352,0.1477024,0.1467581,0.1566748,0.1584084,0.1580653,0.1551853,0.1442268,0.1452025,0.1499669,0.1379037,0.1498776,0.1468331,0.1496816,0.1504237,0.1413743,0.139856,0.1460242,0.1498694,0.1455124,0.1493377,0.1392303,0.127564,0.1592534,0.1441278,0.1505716,0.1496309,0.1574863
53,0.2073086,0.1831465,0.2030094,0.1962092,0.2111502,0.197381,0.2131028,0.2032866,0.2041259,0.2162986,0.1970054,0.211104,0.1874149,0.196927,0.186829,0.1981478,0.2073683,0.1851825,0.2017318,0.1796812,0.1794884,0.1808783,0.1646732,0.1635312,0.1631274,0.1877115,0.1707222,0.1874587,0.1680681,0.1798808,0.1976075
54,0.1885754,0.1738363,0.1869614,0.2051823,0.1854798,0.2127422,0.2006399,0.2207342,0.2024579,0.1952306,0.1888136,0.1946512,0.1922973,0.1811929,0.1828062,0.2084247,0.1976795,0.1830223,0.2104911,0.190567,0.192656,0.217253,0.2248786,0.2295635,0.1876715,0.1694429,0.2340929,0.207702,0.2190156,0.2106915,0.2012876
55,0.2158573,0.2178551,0.2382023,0.2447158,0.2382316,0.2246305,0.2377928,0.2295088,0.2343985,0.2603585,0.2487007,0.2216523,0.2174872,0.2373446,0.2103927,0.2449402,0.2477616,0.2175346,0.2221559,0.1939087,0.2277516,0.2256924,0.1931717,0.1988296,0.2026711,0.2376148,0.2152535,0.2255039,0.1740856,0.2058338,0.2071032
56,0.1965294,0.1585615,0.1759551,0.1769973,0.1813802,0.1923468,0.1737007,0.2125366,0.1776779,0.1659282,0.1827813,0.1769163,0.1810378,0.1614944,0.1754904,0.1998888,0.1627279,0.1951775,0.21115,0.1946068,0.1817663,0.2022016,0.2156771,0.2151559,0.1903537,0.146536,0.2248092,0.1973788,0.2143873,0.2032197,0.182178
57,0.2592418,0.2282666,0.2652903,0.2596221,0.2635545,0.2558075,0.267269,0.2647996,0.2679284,0.2661009,0.267707,0.2615601,0.2452316,0.2531513,0.2457774,0.2538212,0.261034,0.2608008,0.2512797,0.247853,0.2504164,0.2368893,0.2512366,0.2555098,0.2405524,0.21882,0.2600015,0.2586265,0.2540233,0.2563497,0.2562742
58,0.1659585,0.1631298,0.2199854,0.1838413,0.1843292,0.1694795,0.1619426,0.211842,0.1794089,0.189734,0.1793895,0.189601,0.161207,0.2071351,0.1589226,0.1955273,0.1957801,0.184887,0.1807211,0.1692751,0.1801685,0.1853107,0.1668676,0.1705548,0.2191741,0.2353134,0.199302,0.1907288,0.1843036,0.2002354,0.1700848
59,0.2062611,0.1999945,0.2187209,0.2096044,0.2184281,0.194979,0.2168216,0.202893,0.2054392,0.2205748,0.2124403,0.2006446,0.1912993,0.2029762,0.1947399,0.2038139,0.2139527,0.2008256,0.1923194,0.1790006,0.2251121,0.1936078,0.1918435,0.1937669,0.1941484,0.1571837,0.1920969,0.2004479,0.2024878,0.2001773,0.2144272
60,0.2276751,0.1945876,0.2413834,0.2418997,0.2405988,0.2280251,0.2556393,0.2219327,0.234469,0.2405567,0.2386727,0.2357399,0.2109178,0.2169953,0.2200987,0.2175497,0.2254013,0.2241062,0.2144166,0.2174798,0.2191344,0.2002802,0.2117022,0.2344452,0.1983103,0.1593179,0.2174181,0.2278471,0.2441688,0.2363068,0.2266219
61,0.3652045,0.3403953,0.3574793,0.352034,0.3332567,0.343912,0.3639809,0.3530792,0.3564413,0.3454314,0.3613215,0.3261473,0.3547784,0.3565345,0.3235747,0.3363801,0.3575467,0.3525679,0.3456929,0.3139261,0.3598283,0.3375431,0.3553977,0.3537434,0.3418677,0.3176607,0.3298923,0.3648145,0.3243845,0.3551833,0.3470648
62,0.283889,0.2477362,0.2876153,0.2888797,0.2806529,0.288219,0.3068076,0.2787165,0.2956023,0.2919167,0.2828266,0.2808701,0.2742315,0.271975,0.2745167,0.2770454,0.2784098,0.2877925,0.2653479,0.2696732,0.2632408,0.2527016,0.2713027,0.2813824,0.2565468,0.212649,0.2696017,0.2940955,0.2774785,0.2873215,0.2861144
63,0.3028836,0.2691773,0.3084146,0.2935878,0.3047219,0.2861949,0.315784,0.3176094,0.3058853,0.2855888,0.2845437,0.2819588,0.2731862,0.2968907,0.2782493,0.2735648,0.291755,0.2815318,0.2876987,0.2985058,0.2981039,0.2773251,0.2727913,0.2810997,0.2837528,0.2686907,0.2799005,0.2941551,0.359886,0.2873824,0.2926818
64,0.2363735,0.2076387,0.242853,0.2307218,0.2407333,0.2277311,0.2499209,0.2412277,0.2410108,0.2391896,0.241115,0.2237985,0.2163349,0.2243989,0.2276504,0.2266628,0.2390591,0.2283951,0.2302165,0.233833,0.2342615,0.2190462,0.221763,0.2362298,0.2214394,0.2206227,0.222727,0.2293245,0.2563202,0.2351031,0.226888
65,0.2372191,0.2038413,0.2417907,0.2396412,0.2381732,0.2251045,0.2384575,0.2313057,0.236604,0.2316028,0.2295997,0.2259922,0.2140117,0.2217238,0.2147274,0.2214611,0.2297651,0.2193394,0.2227156,0.219815,0.2171944,0.1985834,0.2097838,0.2212465,0.2029931,0.1851627,0.2116318,0.2211987,0.1986142,0.231543,0.2372365
66,0.2035614,0.1667758,0.2034638,0.2077617,0.2022566,0.2000217,0.2127022,0.2076831,0.2013296,0.209471,0.2074687,0.1980939,0.1933974,0.1932781,0.1880327,0.1971931,0.2019956,0.2026193,0.19608,0.1960034,0.1924367,0.1831741,0.1964969,0.2054857,0.1838578,0.1462229,0.1982412,0.2050154,0.2305762,0.2094147,0.1969234
67,0.272227,0.2449964,0.2709008,0.2793595,0.2716252,0.2857806,0.2950658,0.2934612,0.3032544,0.2786744,0.2800207,0.2710305,0.2651721,0.264804,0.2734799,0.2618209,0.2721836,0.288448,0.2731995,0.2768561,0.2663123,0.2551595,0.2721345,0.2824251,0.2605923,0.2060345,0.2766415,0.2855024,0.3162764,0.2811931,0.308745
68,0.2894982,0.2255685,0.3034425,0.3097254,0.3018396,0.2651089,0.3210812,0.2680362,0.2936249,0.2981311,0.2857446,0.2926688,0.2627065,0.2608977,0.2802355,0.2665332,0.2869545,0.2601103,0.2591716,0.2684523,0.2415804,0.2160671,0.2602931,0.2723559,0.2315227,0.1968527,0.2432703,0.283622,0.2418609,0.2871814,0.2655945
69,0.226926,0.2015004,0.2330466,0.225945,0.2253806,0.2256677,0.2209225,0.2224525,0.2271664,0.2281862,0.2235868,0.229386,0.215916,0.2196736,0.2197671,0.2286997,0.2202203,0.2165039,0.2200483,0.2069389,0.2075511,0.2121398,0.217229,0.2152034,0.2118836,0.190592,0.2169407,0.2233929,0.2369886,0.2266839,0.2144123
70,0.228025,0.2031848,0.2222065,0.2355925,0.2136993,0.2501384,0.2507244,0.2397075,0.2347696,0.2360799,0.2275831,0.2231448,0.2299005,0.2059241,0.2204054,0.2502057,0.2165188,0.2265098,0.2395432,0.2347289,0.2090278,0.2235495,0.2502957,0.2663648,0.21667,0.1872933,0.2535096,0.2459228,0.2242984,0.2424293,0.2318134
71,0.3470918,0.337075,0.3616405,0.3487955,0.3476983,0.3656742,0.3741972,0.354076,0.3615136,0.3562943,0.3669201,0.3439293,0.3536088,0.3514829,0.3539424,0.3616165,0.3559381,0.3430255,0.3516572,0.3163488,0.3529796,0.3476844,0.3733451,0.3561494,0.3420966,0.269301,0.3477078,0.3660476,0.3433535,0.3603222,0.3555003
72,0.264531,0.242614,0.2668268,0.2664667,0.2583594,0.262578,0.275046,0.2667216,0.2709602,0.266509,0.2641549,0.2622491,0.2530946,0.2586803,0.2506601,0.2701081,0.2640602,0.2608302,0.2573637,0.2529893,0.2566927,0.2523794,0.267983,0.2653717,0.2467152,0.1998757,0.2593689,0.2690956,0.2595868,0.2635367,0.265144
73,0.2845207,0.2650586,0.2823936,0.2798695,0.2820013,0.2697541,0.2866746,0.2782113,0.2826512,0.2876792,0.2811847,0.282713,0.2678674,0.2834208,0.2697707,0.2943634,0.2880704,0.2723122,0.2690175,0.2538143,0.2826644,0.2799916,0.2814623,0.2817295,0.2681041,0.2358183,0.2659636,0.2865247,0.2573598,0.2744524,0.2766425
